Final Event Number	Date & Time Reported	Date and Time Occurred	Log Type	Location	Status	Remarks	AreaName
2016-0012235	9/15/2016  1:39:00 PM	9/3/2016 12:01:00AM To  7:00:00AM	ANNOYING CALLS/TEXTS/EMAILS	HAUSER HALL 1575 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of annoying emails and phone calls an individual received.	North Yard Team
2016-0012525	9/21/2016  9:29:00 PM	9/21/2016  9:29:00PM	ANNOYING CALLS/TEXTS/EMAILS	LOWELL HOUSE B 10 HOLYOKE PL	CLOSED	"Officer dispatched to take a report of a suspicious email an individual received.
Update 10/14/16: The reporting person informed the officer that they had received 4 additional emails. This incident has been reclassified from Suspicious Activity to Annoying Calls/Texts/Emails."	River Team
2016-0013169	10/6/2016  1:34:00 PM	9/27/2016 11:00:00AM	ANNOYING CALLS/TEXTS/EMAILS	CONANT HALL 36 OXFORD ST	CLOSED	Officer dispatched to take a report of annoying messages an individual received.	North Yard Team
2016-0013172	10/6/2016  2:45:00 PM	10/6/2016  2:45:00PM	ANNOYING CALLS/TEXTS/EMAILS	ROBINSON HALL 35 QUINCY ST	OPEN	Officer dispatched to take a report of annoying phone calls an individual received.	Yard Team
2016-0013210	10/7/2016  11:18:00 AM	10/7/2016 11:18:00AM	ANNOYING CALLS/TEXTS/EMAILS	GORDON HALL 25 SHATTUCK ST	CLOSED	Officer dispatched to take a report of annoying calls an office has received.	Longwood Team
2016-0013751	10/21/2016  9:57:18 AM	10/21/2016  9:57:00AM	ANNOYING CALLS/TEXTS/EMAILS	ROBINSON HALL 35 QUINCY ST	CLOSED	Officer dispatched to a report of an individual receiving annoying phone calls. Officer arrived and spoke to the reporting party who stated it was accidental and the individual had the wrong number.	Yard Team
2016-0013975	10/27/2016  10:21:00 AM	8/24/2016 To 10/27/2016 9:38:00AM To  4:41:00PM	ANNOYING CALLS/TEXTS/EMAILS	SFP SOLDIERS FIELD PARK 05 111 WESTERN AVE	CLOSED	Officer dispatched to take a report of an email scam.	Allston/Watertown Team
2016-0007889	6/1/2016  7:01:00 PM	6/1/2016  7:01:00PM	ASSAULT REPORT	RADCLIFFE FELLOWSHIP PROG 38 CONCORD AVE	CLOSED	"Officers dispatched to take a report of an assault and battery.
Update 6/29/16: This case is closed pending any further information."	Radcliffe/Quad Team
2016-0009716	7/17/2016  12:07:00 PM	7/17/2016 12:00:00PM To 12:01:00PM	ASSAULT REPORT	CHAO CENTER 49 HARVARD WAY	CLOSED	Officers dispatched to take a report of an assault and battery.	Allston/Watertown Team
2016-0009932	7/21/2016  7:06:00 PM	7/21/2016  7:06:00PM	ASSAULT REPORT	ELIOT HOUSE A 101 DUNSTER ST	CLOSED	Officer dispatched to take a report of two assault and batteries.	River Team
2016-0010410	8/5/2016  4:18:00 AM	8/5/2016  4:00:00AM To  5:00:00AM	ASSAULT REPORT	STOUGHTON HALL NORTH 17 HARVARD YARD	CLOSED	Officer dispatched to take a report of an assault and battery.	North Yard Team
2016-0010781	8/15/2016  3:14:00 PM	8/15/2016 10:29:00AM To  2:40:00PM	ASSAULT REPORT	ELIOT TRIANGLE 101 DUNSTER ST	CLOSED	Officer dispatched to take a report of a past assault and battery.	River Team
2016-0012661	9/24/2016  11:59:00 PM	9/24/2016 To 9/25/201611:58:00PM To 12:20:00AM	ASSAULT REPORT	CANADAY HALL A 22 HARVARD YARD	CLOSED	Officer dispatched to take a report of an assault and battery.	Yard Team
2016-0013571	10/15/2016  2:33:00 PM	10/15/2016  3:35:00AM To  3:40:00AM	ASSAULT REPORT	CHILD HALL 26 EVERETT ST	CLOSED	Officer dispatched to take a report of a past assault and battery.	North Yard Team
2016-0008132	6/8/2016  6:30:12 PM	6/8/2016  6:30:00PM	ASSIST BOSTON POLICE	 27 SMITH ST	CLOSED	Officers dispatched to a report of shots fired in the area. Officers arrived and report area quiet.	Longwood Team
2016-0008326	6/15/2016  5:04:00 PM	6/15/2016  4:45:00PM	ASSIST BOSTON POLICE	 221 LONGWOOD AVE	CLOSED	Officer while on patrol observed a small mulch fire. BFD arrived on scene and extinguished fire.	Longwood Team
2016-0008689	6/22/2016  7:45:00 PM	6/22/2016  7:15:00PM To  8:16:00PM	ASSIST BOSTON POLICE	ELIOT HOUSE G 101 DUNSTER ST	CLOSED	Officer dispatched to take a report of past armed robbery. A wallet was reported stolen.	River Team
2016-0009115	7/4/2016  11:15:00 PM	7/4/2016 11:15:00PM To 11:28:00PM	ASSIST BOSTON POLICE	 115 CAMBRIDGE ST	CLOSED	Officer dispatched to a report of a small fire. Officer arrived and report BPD and BFD on scene and small fire was extinguished.	
2016-0010009	7/24/2016  3:35:55 AM	7/24/2016  3:35:00AM	ASSIST BOSTON POLICE	 ST ALPHONSUS ST / TREMONT ST	CLOSED	Officer assisted BPD with a motor vehicle accident.	Longwood Team
2016-0010908	8/19/2016  9:45:12 AM	8/19/2016  9:45:00AM	ASSIST BOSTON POLICE	GATE 8 8 ATHLETIC COMPLEX	CLOSED	Officer while on patrol reports a taxi disabled. Tow company notified as well as BPD who arrived on scene and took over.	Allston/Watertown Team
2016-0011444	8/26/2016  12:34:00 PM	8/1/2016 To 8/26/2016 9:00:00AM To 12:00:00PM	ASSIST BOSTON POLICE	DUDLEY HOUSE - LEHMAN HALL 8 HARVARD YARD	CLOSED	Officer dispatched to take a report of past suspicious activity.	Yard Team
2016-0011812	9/5/2016  2:23:33 AM	9/5/2016  2:23:00AM	ASSIST BOSTON POLICE	 1 ALBERT ST	CLOSED	Report from BPD of an individual shot by a BB gun.	
2016-0011907	9/7/2016  3:44:04 PM	9/7/2016  3:44:00PM	ASSIST BOSTON POLICE	 1400 TREMONT ST	CLOSED	Officer dispatched to a report of a motor vehicle accident with no personal injuries. Officer arrived and assisted individuals in exchanging paperwork.	
2016-0012246	9/15/2016  6:47:00 PM	9/15/2016  6:40:00PM To  7:00:00PM	ASSIST BOSTON POLICE	 79 N HARVARD ST	CLOSED	Officer dispatched to take a report of a motor vehicle accident with no personal injuries.	Allston/Watertown Team
2016-0012284	9/16/2016  1:03:00 PM	9/16/2016  1:23:00PM To  1:40:00PM	ASSIST BOSTON POLICE	 698 HUNTINGTON AVE	CLOSED	Officer dispatched to a report of a suspicious package in the area. Officer arrived and report BPD on scene and report a grenade found in the bushed. BPD Bomb Squad was notified and arrived on scene and report it was not a live grenade and was taken into possession.	Longwood Team
2016-0013943	10/26/2016  9:37:00 AM	10/21/2016  7:00:00AM To  8:15:00AM	ASSIST BOSTON POLICE	NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR	CLOSED	Officer dispatched to take a report of a past motor vehicle accident with no personal injuries.	Longwood Team
2016-0007875	6/1/2016  11:02:00 AM	5/31/2016 To 6/1/201610:00:00AM To 10:00:00AM	ASSIST BPD - THEFT REPORT	 306 COMMONWEALTH AVE	CLOSED	"Officer dispatched to take a report of a stolen Apple laptop valued at $1,000.00 from a motor vehicle."	Longwood Team
2016-0009061	7/2/2016  2:18:00 PM	7/1/2016 To 7/2/201610:00:00AM To  2:00:00AM	ASSIST BPD - THEFT REPORT	ALLSTON SUBSTATION 114 WESTERN AVE	CLOSED	"Officer dispatched to take a report of a stolen Apple laptop valued at $2,000.00."	Allston/Watertown Team
2016-0010745	8/14/2016  6:22:00 AM	8/14/2016  5:30:00AM To  7:30:00AM	ASSIST BPD - THEFT REPORT	 1284 SOLDIERS FIELD RD	OPEN	Officer dispatched to take a report of a past forcible breaking and entering.	Allston/Watertown Team
2016-0011674	9/1/2016  10:06:00 PM	8/28/2016 To 9/1/2016 1:18:00AM To  6:42:00PM	ASSIST BPD - THEFT REPORT	 1 WESTERN AVE	CLOSED	Officer dispatched to take a report of a stolen cell phone.	Allston/Watertown Team
2016-0007893	6/1/2016  10:13:01 PM	6/1/2016 10:13:00PM	ASSIST CAMBRIDGE POLICE	TASY BURGER 40 JFK ST	CLOSED	Caller put in contact with CPD about an individual be disruptive.	River Team
2016-0007977	6/3/2016  7:24:00 AM	6/3/2016  7:24:00AM	ASSIST CAMBRIDGE POLICE	SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE	CLOSED	"Officer took a report of an assault and battery.
Update 6/13/16: Upon further investigation this incident occurred out of HUPD jurisdiction. This incident has been reclassified from an Assault to Assist CPD."	River Team
2016-0008345	6/16/2016  8:56:46 AM	6/16/2016  8:56:00AM	ASSIST CAMBRIDGE POLICE	 79 JFK ST	CLOSED	Officer while on detail stopped an individual in a motor vehicle who was displaying aggressive behavior. Additional officers arrived and report CPD took over scene.	Radcliffe/Quad Team
2016-0008357	6/16/2016  1:23:00 PM	6/16/2016  1:23:00PM	ASSIST CAMBRIDGE POLICE	 1201 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of a past motor vehicle with no personal injuries.	Yard Team
2016-0008393	6/17/2016  10:17:00 PM	6/17/2016 10:17:00PM	ASSIST CAMBRIDGE POLICE	OWL CLUB 30 HOLYOKE ST	CLOSED	Officer dispatched to assist CPD with a noise complaint. Officer arrived and report CPD had advised an occupant to keep noise level down.	River Team
2016-0008396	6/17/2016  11:12:00 PM	6/17/2016 11:12:00PM	ASSIST CAMBRIDGE POLICE	OWL CLUB 30 HOLYOKE ST	CLOSED	Officer dispatched to a report of loud noise coming from the area. Officer arrived and report individual not complying with officer about keeping the noise level down. Additional officers from HUPD and CPD arrived on scene and eventually the noise level had been lowered.	River Team
2016-0008488	6/21/2016  12:27:07 AM	6/21/2016 12:27:00AM	ASSIST CAMBRIDGE POLICE	 512 MASSACHUSETTS AVE	CLOSED	Report from CPD of an individual in the area with a gun. CPD officers arrived and report spoke to an individual who did not possess a gun.	
2016-0008550	6/22/2016  3:09:28 AM	6/22/2016  3:09:00AM	ASSIST CAMBRIDGE POLICE	JOHNSTON GATE 47 HARVARD YARD	CLOSED	Officers dispatched to a report of an individual possibly attempting to steal a bicycle in the area. Officers arrived and report no individual in the area.	Yard Team
2016-0008721	6/23/2016  1:43:43 PM	6/23/2016  1:43:00PM	ASSIST CAMBRIDGE POLICE	 125 SIXTH ST	CLOSED	Officer took a report of a sexual assault.	
2016-0008822	6/26/2016  10:33:48 PM	6/26/2016 10:33:00PM	ASSIST CAMBRIDGE POLICE	 BLACKSTONE ST / WESTERN AVE	CLOSED	Officers dispatched to a report of some type of fight or altercation in the area. Officers arrived and report no disturbance just people yelling about a soccer match who had already left the area.	River Team
2016-0008861	6/27/2016  3:36:51 PM	6/27/2016  3:36:00PM	ASSIST CAMBRIDGE POLICE	 JAMES ST / MASON ST	CLOSED	Officer dispatched to a report of an unattended backpack in the area. Officer arrived and report no backpack in the area.	
2016-0009027	7/1/2016  1:57:08 PM	7/1/2016  1:57:00PM	ASSIST CAMBRIDGE POLICE	 BANKS ST / SURREY ST	CLOSED	Officer report tree branch through a motor vehicle.	River Team
2016-0009097	7/4/2016  12:42:26 AM	7/4/2016 12:42:00AM	ASSIST CAMBRIDGE POLICE	DELPHIC CLUB 9 LINDEN ST	CLOSED	Officer dispatched to a report of an individual possibly in the building. Officer arrived and report no individual in the building.	River Team
2016-0009537	7/11/2016  11:10:00 PM	7/11/2016 11:10:00PM	ASSIST CAMBRIDGE POLICE	LAMPOON 44 BOW ST	CLOSED	Officer dispatched to a report of loud noise coming from the building. Officer arrived and advised two individuals to turn the music down.	River Team
2016-0009581	7/13/2016  12:00:17 PM	7/13/2016 12:00:00PM	ASSIST CAMBRIDGE POLICE	SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE	CLOSED	Officers dispatched to a report of two unattended bags in the area. Officers arrived and report CPD taking care of call.	River Team
2016-0009634	7/15/2016  12:40:43 AM	7/15/2016 12:40:00AM	ASSIST CAMBRIDGE POLICE	 HARVARD ST / QUINCY ST	CLOSED	Officers dispatched to a report of two individuals arguing in the area. Officers arrived and report individuals gone on arrival.	
2016-0009671	7/15/2016  8:24:03 PM	7/15/2016  8:24:00PM	ASSIST CAMBRIDGE POLICE	 20 ELMWOOD AVE	CLOSED	Officer dispatched to a report of an individual going from door to door in the area. Officer arrived and report CPD caught up with the individual and determined the individual was a solicitor.	Radcliffe/Quad Team
2016-0009724	7/17/2016  4:45:00 PM	7/17/2016  4:58:00PM To  5:15:00PM	ASSIST CAMBRIDGE POLICE	WIDENER GATE 42 HARVARD YARD	CLOSED	Officer dispatched to take a report of past suspicious activity.	Yard Team
2016-0009728	7/17/2016  11:32:00 PM	7/17/2016 To 7/18/201611:15:00PM To 12:10:00AM	ASSIST CAMBRIDGE POLICE	LOWELL HOUSE A 10 HOLYOKE PL	CLOSED	Officer dispatched to take a report of a recovered-stolen cell phone. An individual was issued a verbal trespass warning in this incident.	River Team
2016-0009752	7/18/2016  5:50:00 PM	7/18/2016  5:45:00PM To  5:55:00PM	ASSIST CAMBRIDGE POLICE	WINTHROP PARK 70 WINTHROP ST	CLOSED	Officer dispatched to take a report of a past assault and battery.	
2016-0009868	7/20/2016  7:11:54 AM	7/20/2016  7:11:00AM	ASSIST CAMBRIDGE POLICE	METHODIST CHURCH 1555 MASSACHUSETTS AVE	CLOSED	Officer dispatched to a report of mulch smoldering in the area. Officer arrived and report CFD on scene and had doused area with water.	North Yard Team
2016-0009966	7/22/2016  4:35:00 PM	7/22/2016  4:38:00PM To  4:44:00PM	ASSIST CAMBRIDGE POLICE	 DUNSTER ST / MT AUBURN ST	CLOSED	Officers dispatched to take a report of a motor vehicle accident with no personal injuries. Officers arrived and report CPD on scene and took over call.	River Team
2016-0009980	7/23/2016  12:20:00 AM	7/23/2016 12:20:00AM	ASSIST CAMBRIDGE POLICE	OWL CLUB 30 HOLYOKE ST	CLOSED	Officer dispatched to a report of loud noise coming from the area. Officers arrived and report CPD on scene who reported music had been lowered.	River Team
2016-0009982	7/23/2016  1:10:19 AM	7/23/2016  1:10:00AM	ASSIST CAMBRIDGE POLICE	OWL CLUB 30 HOLYOKE ST	CLOSED	Officer dispatched to a second report of loud noise coming from the building. Officer arrived and report CPD on scene who reported the area quiet.	River Team
2016-0009999	7/23/2016  7:25:00 PM	7/23/2016  7:16:00PM To  7:23:00PM	ASSIST CAMBRIDGE POLICE	 3 HEALY ST	CLOSED	Officer while on patrol observed a fire in the area. An additional officer was notified and arrived on scene. The officers were able to extinguish the fire. CFD eventually arrived on scene and took over call.	
2016-0010048	7/25/2016  12:52:45 PM	7/25/2016 12:52:00PM	ASSIST CAMBRIDGE POLICE	 FELTON ST / BROADWAY	CLOSED	Officers while on patrol observed a motor vehicle accident with no personal injuries. CPD notified and arrived on scene and took over call.	North Yard Team
2016-0010114	7/27/2016  11:29:29 AM	7/27/2016 11:29:00AM	ASSIST CAMBRIDGE POLICE	FAS OFFICES 1414 MASSACHUSETTS AVE	CLOSED	Officers dispatched to a report of two unwanted guests in the area potentially engaging in drug activity. Officers arrived and report individuals gone on arrival.	Radcliffe/Quad Team
2016-0010178	7/29/2016  9:50:00 AM	7/29/2016  9:50:00AM To 10:20:00AM	ASSIST CAMBRIDGE POLICE	 EVERETT ST / OXFORD ST	CLOSED	Officer dispatched to take a report of a motor vehicle with no personal injuries.	North Yard Team
2016-0010293	8/1/2016  3:49:19 PM	8/1/2016  3:49:00PM	ASSIST CAMBRIDGE POLICE	KIOSK 1400 MASSACHUSETTS AVE	CLOSED	Report from CPD of a CPD officer and a suspect transported to a medical facility.	Radcliffe/Quad Team
2016-0010462	8/5/2016  9:43:00 AM	8/5/2016  8:30:00AM To  8:40:00AM	ASSIST CAMBRIDGE POLICE	 25 LINNAEAN ST	CLOSED	Officer dispatched to take a report of an assault and battery.	Radcliffe/Quad Team
2016-0010507	8/6/2016  5:50:28 PM	8/6/2016  5:50:00PM	ASSIST CAMBRIDGE POLICE	 KIRKLAND ST / OXFORD ST	CLOSED	Officers dispatched to a report of an individual in the area who is possibly intoxicated with a young child. Officers arrived and report individuals gone on arrival.	North Yard Team
2016-0010551	8/8/2016  11:22:43 PM	8/8/2016 11:22:00PM	ASSIST CAMBRIDGE POLICE	 1033 MASSACHUSETTS AVE	CLOSED	Officer dispatched to assist CPD with a motor vehicle stop. Officer arrived and cleared once additional CPD officers arrived.	Yard Team
2016-0010583	8/10/2016  6:50:59 AM	8/10/2016  6:50:00AM	ASSIST CAMBRIDGE POLICE	 79 JFK ST	CLOSED	"Officer dispatched to a report of two individuals arguing. Officer arrived, located individuals and report individuals were not arguing."	Radcliffe/Quad Team
2016-0010641	8/10/2016  11:01:00 PM	8/10/2016 10:30:00PM To 11:10:00PM	ASSIST CAMBRIDGE POLICE	CABOT HOUSE I 51 SHEPARD ST	CLOSED	Officer dispatched to a report of an emergency call box hang up. Officer arrived located individual who informed the officer that a window was open at the Graham and Parks School and two individuals were wandering around the area. CPD was notified and checked the school with negative results.	Radcliffe/Quad Team
2016-0010711	8/12/2016  9:26:00 PM	8/12/2016  9:26:00PM	ASSIST CAMBRIDGE POLICE	 65 MT AUBURN STREET	CLOSED	"Officer dispatched to take a report of a past indecent assault.
A community advisory was disseminated for this incident."	River Team
2016-0010724	8/13/2016  1:33:17 PM	8/13/2016  1:33:00PM	ASSIST CAMBRIDGE POLICE	 1201 MASSACHUSETTS AVE	CLOSED	Officer dispatched to a report an unwanted guest in the area. Officer arrived and report individual gone on arrival.	Yard Team
2016-0010856	8/17/2016  4:34:44 PM	8/17/2016  4:34:00PM	ASSIST CAMBRIDGE POLICE	 DEWOLFE ST / MT AUBURN ST	CLOSED	Officer while on patrol reports a motor vehicle accident with no personal injuries. Officer assisted individuals with exchanging paperwork. CPD arrived and took over.	River Team
2016-0010906	8/19/2016  9:26:29 AM	8/19/2016  9:26:00AM	ASSIST CAMBRIDGE POLICE	 20 ELIOT ST	CLOSED	Officer while on patrol reports a motor vehicle accident in which a pedestrian was struck. CPD notified and arrived on scene and took over.	Radcliffe/Quad Team
2016-0010950	8/19/2016  5:35:43 PM	8/19/2016  5:35:00PM	ASSIST CAMBRIDGE POLICE	 QUINCY ST / KIRKLAND ST	CLOSED	Officer observed a motor vehicle accident with no personal injuries.  Cambridge Police arrived and took a report.	North Yard Team
2016-0010954	8/19/2016  10:59:00 PM	8/19/2016  9:26:00AM To  9:40:00AM	ASSIST CAMBRIDGE POLICE	 20 ELIOT ST	CLOSED	"Officer on detail observed a pedestrian struck by a taxi.  Cambridge Police were requested at the scene.  After initially refusing medical attention, the pedestrian was eventually transported by ambulance to Mount Auburn Hospital."	Radcliffe/Quad Team
2016-0010960	8/20/2016  8:09:22 AM	8/20/2016  8:09:00AM	ASSIST CAMBRIDGE POLICE	CAMBRIDGE COMMON 1 GARDEN ST	CLOSED	While on patrol an officer two individuals in an argument.  The officer separated the two individuals and requested Cambridge Police to respond to the scene.  Cambridge Police arrived and took control of the scene.	Radcliffe/Quad Team
2016-0011021	8/23/2016  9:05:58 AM	8/23/2016  9:05:00AM	ASSIST CAMBRIDGE POLICE	FARKAS HALL 12 HOLYOKE ST	CLOSED	Officers dispatched on a report of an individual yelling and screaming at passersby.  Cambridge Police stopped the individual and addressed the behavior.	River Team
2016-0011106	8/24/2016  12:23:00 AM	8/24/2016 12:25:00AM	ASSIST CAMBRIDGE POLICE	FLY CLUB 2 HOLYOKE PL	CLOSED	Officer dispatched to a report of loud noise coming from the area. Officer arrived and advised occupant of the club to keep the noise level down.	River Team
2016-0011193	8/26/2016  5:48:19 AM	8/26/2016  5:48:00AM	ASSIST CAMBRIDGE POLICE	 MASS / GARDEN ST	CLOSED	Officer dispatched to a report of an individual in the area possibly in possession of a weapon. Officer arrived and report individual gone on arrival. CPD reports they caught up with the individual and were taking care of call.	
2016-0011448	8/26/2016  1:54:00 PM	8/26/2016 11:00:00AM To 11:15:00AM	ASSIST CAMBRIDGE POLICE	SCIENCE CENTER PLAZA 1 OXFORD ST	CLOSED	Officer dispatched to take a report of a past assault and battery with a dangerous weapon.	Yard Team
2016-0011481	8/27/2016  11:43:21 AM	8/27/2016 11:43:00AM	ASSIST CAMBRIDGE POLICE	DEWOLFE ST GARAGE 10 DEWOLFE ST	CLOSED	Officer reports a motor vehicle accident with no personal injuries. CPD arrived and took over scene.	River Team
2016-0011484	8/27/2016  12:36:00 PM	8/27/2016 12:40:00PM To  1:00:00PM	ASSIST CAMBRIDGE POLICE	PFORZHEIMER HOUSE 130 WALKER ST	CLOSED	Officer dispatched to take a report of a motor vehicle accident with no personal injuries.	Radcliffe/Quad Team
2016-0011528	8/28/2016  5:54:00 PM	8/28/2016  5:30:00PM To  6:15:00PM	ASSIST CAMBRIDGE POLICE	WEEKS BRIDGE 1 MEMORIAL DR	CLOSED	Officers dispatched to a report of a individual in the area with a rifle. Officers arrived and report individual was with the USAF and was allowed to be in the area due to training.	River Team
2016-0011535	8/28/2016  10:25:00 PM	8/28/2016 10:15:00PM To 10:45:00PM	ASSIST CAMBRIDGE POLICE	WIDENER GATE 42 HARVARD YARD	CLOSED	Officer dispatched to take a report of threats.	Yard Team
2016-0011544	8/29/2016  9:53:00 AM	8/29/2016  9:50:00AM To 10:45:00AM	ASSIST CAMBRIDGE POLICE	 1033 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of a motor vehicle accident. CPD arrived on scene and placed an individual under arrest for operating under the influence.	Yard Team
2016-0011554	8/29/2016  3:42:55 PM	8/29/2016  3:42:00PM	ASSIST CAMBRIDGE POLICE	SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE	CLOSED	Officers dispatched to try an locate an individual in the area. Officers arrived and report negative results.	River Team
2016-0011585	8/30/2016  2:35:00 PM	8/30/2016 12:00:00PM To 12:47:00PM	ASSIST CAMBRIDGE POLICE	 375 HARVARD STREET	CLOSED	Officer dispatched to take a report of a past assault and battery.	North Yard Team
2016-0011621	8/31/2016  12:03:00 PM	8/31/2016 12:03:00PM To  1:45:00PM	ASSIST CAMBRIDGE POLICE	 1555 MASSACHUSETTS AVE	CLOSED	"Officers dispatched to a report of an individual who was recently reported to be in a Harvard owned building without having authorization to be there. Officers arrived, located individual and conducted a field interview. The individual was run for wants/warrants with positive results. The individual was then placed under arrest by CPD officers for an active warrant. The individual was also given a verbal trespass warning for all Harvard University property."	North Yard Team
2016-0011625	8/31/2016  12:53:00 PM	8/31/2016 12:53:00PM	ASSIST CAMBRIDGE POLICE	 WALKER ST/SHEPARD ST	CLOSED	Officers dispatched to a report of an individual being followed by an unknown individual operating a motor vehicle in the area. Officers arrived and report located a motor vehicle matching the description of the suspected motor vehicle. Officers were able to stop the motor and conducted a field interview. The individual was run for wants/warrants with negative results. The individual was then sent on their way.	Radcliffe/Quad Team
2016-0011644	9/1/2016  12:40:15 AM	9/1/2016 12:40:00AM	ASSIST CAMBRIDGE POLICE	 65 LANGDON ST	CLOSED	Caller put in contact with CPD.	Radcliffe/Quad Team
