Date Reported	Time Reported	Incident Type	Date Occurred	Time Occurred	Location	Disposition	Description
9/2/2016	10:14PM	NOISE COMPLAINT	9/2/2016	10:14PM	60 Garden St	CLOSED	Description42
12/26/2016	8:13PM	DISTRUBANCE	12/26/2016	8:13PM	24 Rice St	CLOSED	Description43
11/5/2016	7:05PM	TREPASS WARNING	11/5/2016	7:05PM	30 Mt Auburn St	CLOSED	Description44
10/28/2016	1:27PM	UNWANTED GUEST	10/28/2016	1:27PM	12 Gerry St	CLOSED	Description45
9/4/2016	10:04AM	THEFT	9/4/2016	10:04AM	67 Bay State Rd	CLOSED	Description46
9/14/2016	6:54PM	NOISE COMPLAINT	9/14/2016	6:54PM	9 Speridakis Ter	OPEN	Description47
11/24/2016	12:06PM	THEFT	11/24/2016	12:06PM	46-A Dana St	CLOSED	Description48
12/30/2016	5:45AM	DEMONSTRATION	12/30/2016	5:45AM	21 Seagrave Rd	OPEN	Description49
10/9/2016	6:52AM	DEMONSTRATION	10/9/2016	6:52AM	217 Brookline St	CLOSED	Description50
12/14/2016	3:31PM	NOISE COMPLAINT	12/14/2016	3:31PM	160 Allston St	CLOSED	Description51
9/27/2016	12:53AM	NOISE COMPLAINT	9/27/2016	12:53AM	76 Sparks St	CLOSED	Description52
11/15/2016	9:09AM	FIRE	11/15/2016	9:09AM	16 Vandine St	OPEN	Description53
10/18/2016	12:25AM	FIRE	10/18/2016	12:25AM	6 Divinity Ave	CLOSED	Description54
9/11/2016	4:46PM	DISTRUBANCE	9/11/2016	4:46PM	18-3 Bay St	CLOSED	Description55
11/31/2016	11:34AM	REMOVE GROUP	11/31/2016	11:34AM	363 Prospect St	OPEN	Description56
9/28/2016	10:14PM	NOISE COMPLAINT	9/28/2016	10:14PM	14 Hingham St	CLOSED	Description57
9/15/2016	10:50AM	ASSIST STATE POLICE	9/15/2016	10:50AM	1 Gerrys Lndg	CLOSED	Description58
9/18/2016	9:06AM	TREPASS WARNING	9/18/2016	9:06AM	497 Mt Auburn St	OPEN	Description59
9/30/2016	11:10PM	REMOVE GROUP	9/30/2016	11:10PM	174 Hamilton St	CLOSED	Description60
10/17/2016	10:31AM	UNWANTED GUEST	10/17/2016	10:31AM	91 Blanchard Rd	CLOSED	Description61
11/3/2016	12:16PM	DEMONSTRATION	11/3/2016	12:16PM	159 Fayerweather St	OPEN	Description62
10/28/2016	12:29PM	THEFT	10/28/2016	12:29PM	1 Harvard Yard	CLOSED	Description63
10/23/2016	12:19AM	NOISE COMPLAINT	10/23/2016	12:19AM	25 Sixth St	CLOSED	Description64
12/13/2016	1:57AM	NOISE COMPLAINT	12/13/2016	1:57AM	16 Laurel St	OPEN	Description65
12/10/2016	8:26AM	THEFT	12/10/2016	8:26AM	27 Reed St	OPEN	Description66
11/23/2016	7:39PM	NOISE COMPLAINT	11/23/2016	7:39PM	9 Clement Cir	CLOSED	Description67
11/9/2016	5:50PM	FIRE	11/9/2016	5:50PM	106 Winthrop St	CLOSED	Description68
10/12/2016	12:40PM	UNWANTED GUEST	10/12/2016	12:40PM	5 Buckingham Pl	OPEN	Description69
12/6/2016	10:51PM	DISTRUBANCE	12/6/2016	10:51PM	44 Porter St	CLOSED	Description70
11/13/2016	7:55PM	THEFT	11/13/2016	7:55PM	57-1/2 Pleasant St	CLOSED	Description71
10/10/2016	12:27AM	DISTRUBANCE	10/10/2016	12:27AM	134 Rindge Ave	CLOSED	Description72
9/12/2016	1:25PM	TREPASS WARNING	9/12/2016	1:25PM	3 Ash St	OPEN	Description73
10/30/2016	4:09AM	TREPASS WARNING	10/30/2016	4:09AM	216 Upland Rd	CLOSED	Description74
11/31/2016	2:24PM	DISTRUBANCE	11/31/2016	2:24PM	38 Royal Ave	OPEN	Description75
10/13/2016	7:10PM	TREPASS WARNING	10/13/2016	7:10PM	52 Western Ave	CLOSED	Description76
9/27/2016	10:34PM	NOISE COMPLAINT	9/27/2016	10:34PM	233 Lakeview Ave	CLOSED	Description77
10/7/2016	3:24AM	THEFT	10/7/2016	3:24AM	155 Mt Auburn St	CLOSED	Description78
10/16/2016	12:08AM	NOISE COMPLAINT	10/16/2016	12:08AM	16 Kassul Pk	CLOSED	Description79
9/26/2016	10:15PM	DISTRUBANCE	9/26/2016	10:15PM	13 Soden St	CLOSED	Description80
12/1/2016	6:56PM	THEFT	12/1/2016	6:56PM	29 Ellsworth Ave	CLOSED	Description81
11/29/2016	1:42PM	NOISE COMPLAINT	11/29/2016	1:42PM	106 Magazine St	CLOSED	Description82
11/11/2016	1:23PM	THEFT	11/11/2016	1:23PM	15 Marion St	CLOSED	Description83
11/14/2016	8:40PM	NOISE COMPLAINT	11/14/2016	8:40PM	203 Lakeview Ave	CLOSED	Description84
10/4/2016	4:00PM	DEMONSTRATION	10/4/2016	4:00PM	5 Linnaean St	OPEN	Description85
10/10/2016	12:49AM	THEFT	10/10/2016	12:49AM	1810 Massachusetts Ave	CLOSED	Description86
9/30/2016	10:53PM	ASSIST STATE POLICE	9/30/2016	10:53PM	162 Hamilton St	CLOSED	Description87
12/11/2016	8:57PM	THEFT	12/11/2016	8:57PM	70 Clay St	CLOSED	Description88
9/14/2016	1:35PM	NOISE COMPLAINT	9/14/2016	1:35PM	65 Jay St	CLOSED	Description89
9/16/2016	9:30PM	TREPASS WARNING	9/16/2016	9:30PM	30 Dana St	OPEN	Description90
11/9/2016	4:15PM	THEFT	11/9/2016	4:15PM	211 Alewife Brook Pkwy	CLOSED	Description91
12/8/2016	5:59AM	DEMONSTRATION	12/8/2016	5:59AM	31 Worcester St	CLOSED	Description92
11/30/2016	2:18AM	THEFT	11/30/2016	2:18AM	54 Park Ave	CLOSED	Description93
12/5/2016	3:12PM	DISTRUBANCE	12/5/2016	3:12PM	226 Elm St	CLOSED	Description94
12/16/2016	12:38PM	THEFT	12/16/2016	12:38PM	3 Tufts St	CLOSED	Description95
9/23/2016	6:36AM	TREPASS WARNING	9/23/2016	6:36AM	11 Buena Vista Pk	OPEN	Description96
11/24/2016	7:55AM	DISTRUBANCE	11/24/2016	7:55AM	5 DeWolfe St	CLOSED	Description97
9/17/2016	1:02AM	DISTRUBANCE	9/17/2016	1:02AM	54 Gold Star Rd	CLOSED	Description98
11/25/2016	6:27AM	DISTRUBANCE	11/25/2016	6:27AM	183 Putnam Ave	CLOSED	Description99
9/21/2016	9:55PM	DISTRUBANCE	9/21/2016	9:55PM	53 Hancock St	CLOSED	Description100
9/6/2016	9:25AM	NOISE COMPLAINT	9/6/2016	9:25AM	64-7 Lawn St	OPEN	Description101
11/18/2016	7:55PM	THEFT	11/18/2016	7:55PM	28 Second St	OPEN	Description102
9/31/2016	10:37AM	DEMONSTRATION	9/31/2016	10:37AM	67 Holworthy St	OPEN	Description103
9/24/2016	8:10PM	UNWANTED GUEST	9/24/2016	8:10PM	104-1/2 Pearl St	CLOSED	Description104
11/12/2016	3:07PM	NOISE COMPLAINT	11/12/2016	3:07PM	13 Goodman Rd	CLOSED	Description105
9/8/2016	5:21PM	THEFT	9/8/2016	5:21PM	365 Columbia St	CLOSED	Description106
11/4/2016	10:27AM	THEFT	11/4/2016	10:27AM	249 Western Ave	OPEN	Description107
11/15/2016	12:59AM	REMOVE GROUP	11/15/2016	12:59AM	240 Windsor St	CLOSED	Description108
11/20/2016	1:01AM	DEMONSTRATION	11/20/2016	1:01AM	11-A Brattle St	OPEN	Description109
11/28/2016	4:11PM	FIRE	11/28/2016	4:11PM	2536 Massachusetts Ave	CLOSED	Description110
11/1/2016	5:09AM	REMOVE GROUP	11/1/2016	5:09AM	39 Fenno St	OPEN	Description111
10/28/2016	9:35PM	TREPASS WARNING	10/28/2016	9:35PM	236 Pearl St	OPEN	Description112
10/12/2016	3:43AM	REMOVE GROUP	10/12/2016	3:43AM	225 Bent St	CLOSED	Description113
9/10/2016	10:33AM	DISTRUBANCE	9/10/2016	10:33AM	36-6 Irving St	CLOSED	Description114
10/7/2016	12:32PM	REMOVE GROUP	10/7/2016	12:32PM	2560 Massachusetts Ave	CLOSED	Description115
12/5/2016	10:46PM	DISTRUBANCE	12/5/2016	10:46PM	134 Pleasant St	CLOSED	Description116
12/26/2016	4:44PM	DISTRUBANCE	12/26/2016	4:44PM	381-A Huron Ave	OPEN	Description117
9/6/2016	9:36PM	FIRE	9/6/2016	9:36PM	9 Vail Ct	CLOSED	Description118
11/22/2016	9:17PM	TREPASS WARNING	11/22/2016	9:17PM	139 Antrim St	CLOSED	Description119
10/17/2016	8:18PM	ASSIST STATE POLICE	10/17/2016	8:18PM	242 Garden St	CLOSED	Description120
12/14/2016	4:12AM	THEFT	12/14/2016	4:12AM	206 Rindge Ave	CLOSED	Description121
10/25/2016	10:35PM	TREPASS WARNING	10/25/2016	10:35PM	89-B Hampshire St	OPEN	Description122
10/24/2016	10:04PM	REMOVE GROUP	10/24/2016	10:04PM	54 Linnaean St	CLOSED	Description123
11/6/2016	4:10PM	UNWANTED GUEST	11/6/2016	4:10PM	48 Haskell St	CLOSED	Description124
10/7/2016	7:11PM	THEFT	10/7/2016	7:11PM	6 Camden Pl	CLOSED	Description125
9/5/2016	10:48AM	NOISE COMPLAINT	9/5/2016	10:48AM	51 Chestnut St	CLOSED	Description126
12/9/2016	5:58PM	TREPASS WARNING	12/9/2016	5:58PM	35 Creighton St	CLOSED	Description127
12/31/2016	7:52PM	TREPASS WARNING	12/31/2016	7:52PM	234 Concord Ave	CLOSED	Description128
10/12/2016	10:21AM	REMOVE GROUP	10/12/2016	10:21AM	39 Jay St	CLOSED	Description129
12/15/2016	1:55PM	NOISE COMPLAINT	12/15/2016	1:55PM	13 Chalk St	CLOSED	Description130
12/12/2016	4:35PM	TREPASS WARNING	12/12/2016	4:35PM	54 Putnam Ave	CLOSED	Description131
12/18/2016	10:19AM	UNWANTED GUEST	12/18/2016	10:19AM	1682 Massachusetts Ave	CLOSED	Description132
11/10/2016	4:47AM	NOISE COMPLAINT	11/10/2016	4:47AM	151 Chilton St	CLOSED	Description133
12/21/2016	6:47AM	TREPASS WARNING	12/21/2016	6:47AM	16 Garfield St	CLOSED	Description134
10/13/2016	2:11PM	DEMONSTRATION	10/13/2016	2:11PM	490 Cambridge St	CLOSED	Description135
12/1/2016	9:48PM	UNWANTED GUEST	12/1/2016	9:48PM	15 Fairmont St	CLOSED	Description136
12/4/2016	3:56AM	REMOVE GROUP	12/4/2016	3:56AM	392 Cambridge St	OPEN	Description137
9/11/2016	10:58PM	UNWANTED GUEST	9/11/2016	10:58PM	2154 Massachusetts Ave	CLOSED	Description138
10/7/2016	11:43AM	REMOVE GROUP	10/7/2016	11:43AM	2024 Massachusetts Ave	CLOSED	Description139
10/21/2016	8:06AM	NOISE COMPLAINT	10/21/2016	8:06AM	256 Hampshire St	CLOSED	Description140
11/17/2016	7:49PM	NOISE COMPLAINT	11/17/2016	7:49PM	68 Porter St	OPEN	Description141
10/10/2016	2:12AM	NOISE COMPLAINT	10/10/2016	2:12AM	37 Fairmont St	CLOSED	Description142
12/21/2016	7:00AM	REMOVE GROUP	12/21/2016	7:00AM	388 Walden St	CLOSED	Description143
12/2/2016	11:08AM	THEFT	12/2/2016	11:08AM	1765 Massachusetts Ave	CLOSED	Description144
10/1/2016	5:35AM	THEFT	10/1/2016	5:35AM	108 Jackson Cir	CLOSED	Description145
12/27/2016	9:51PM	DISTRUBANCE	12/27/2016	9:51PM	530 Windsor St	OPEN	Description146
12/27/2016	9:17PM	THEFT	12/27/2016	9:17PM	1 Hampshire Ct	CLOSED	Description147
10/31/2016	11:01AM	THEFT	10/31/2016	11:01AM	313 Cambridge St	CLOSED	Description148
10/24/2016	11:00AM	THEFT	10/24/2016	11:00AM	9-A Forest St	CLOSED	Description149
11/26/2016	6:05AM	THEFT	11/26/2016	6:05AM	4 Rockingham Pl	CLOSED	Description150
10/27/2016	8:34AM	THEFT	10/27/2016	8:34AM	247 Cambridge St	CLOSED	Description151
12/7/2016	5:32AM	FIRE	12/7/2016	5:32AM	38 Saville St	CLOSED	Description152
9/19/2016	7:56PM	THEFT	9/19/2016	7:56PM	11 Hazel St	CLOSED	Description153
12/21/2016	9:24AM	REMOVE GROUP	12/21/2016	9:24AM	67 Fifth St	CLOSED	Description154
11/7/2016	12:27PM	THEFT	11/7/2016	12:27PM	116 Fayerweather St	CLOSED	Description155
9/20/2016	4:46PM	NOISE COMPLAINT	9/20/2016	4:46PM	64 Aberdeen Ave	OPEN	Description156
10/11/2016	3:40AM	NOISE COMPLAINT	10/11/2016	3:40AM	69 Mt Vernon St	CLOSED	Description157
10/20/2016	5:02PM	THEFT	10/20/2016	5:02PM	231 Western Ave	CLOSED	Description158
12/29/2016	4:52AM	DISTRUBANCE	12/29/2016	4:52AM	48 Huron Ave	CLOSED	Description159
9/3/2016	8:58PM	DISTRUBANCE	9/3/2016	8:58PM	28 Porter St	CLOSED	Description160
10/20/2016	2:24AM	DISTRUBANCE	10/20/2016	2:24AM	32 May St	CLOSED	Description161
10/18/2016	1:45AM	REMOVE GROUP	10/18/2016	1:45AM	65 Bristol St	CLOSED	Description162
9/13/2016	7:20PM	REMOVE GROUP	9/13/2016	7:20PM	36 Clifton St	OPEN	Description163
11/2/2016	9:24PM	REMOVE GROUP	11/2/2016	9:24PM	191 Hamilton St	CLOSED	Description164
10/17/2016	9:22AM	REMOVE GROUP	10/17/2016	9:22AM	40 Howard St	CLOSED	Description165
10/17/2016	8:49AM	DISTRUBANCE	10/17/2016	8:49AM	114 Berkshire St	CLOSED	Description166
10/28/2016	7:04PM	TREPASS WARNING	10/28/2016	7:04PM	27 Tufts St	CLOSED	Description167
10/18/2016	12:41PM	NOISE COMPLAINT	10/18/2016	12:41PM	9 Grant St	CLOSED	Description168
10/24/2016	5:55PM	THEFT	10/24/2016	5:55PM	303 Broadway	CLOSED	Description169
11/30/2016	5:23AM	TREPASS WARNING	11/30/2016	5:23AM	2200 Massachusetts Ave	OPEN	Description170
9/26/2016	5:10PM	UNWANTED GUEST	9/26/2016	5:10PM	170-A Coolidge Hill	CLOSED	Description171
12/1/2016	10:30AM	TREPASS WARNING	12/1/2016	10:30AM	31 Regent St	CLOSED	Description172
11/4/2016	5:34PM	THEFT	11/4/2016	5:34PM	160 Second St	CLOSED	Description173
10/7/2016	4:38AM	THEFT	10/7/2016	4:38AM	400-2 Franklin St	CLOSED	Description174
12/2/2016	5:22AM	TREPASS WARNING	12/2/2016	5:22AM	221 Lakeview Ave	CLOSED	Description175
11/18/2016	7:53PM	UNWANTED GUEST	11/18/2016	7:53PM	12-2 May St	OPEN	Description176
10/4/2016	4:28PM	NOISE COMPLAINT	10/4/2016	4:28PM	15 Elmer St	OPEN	Description177
9/31/2016	8:22PM	REMOVE GROUP	9/31/2016	8:22PM	14 Arlington St	CLOSED	Description178
10/27/2016	9:14PM	THEFT	10/27/2016	9:14PM	197 Hurley St	CLOSED	Description179
10/13/2016	3:59AM	NOISE COMPLAINT	10/13/2016	3:59AM	142-A Mt Auburn St	CLOSED	Description180
10/16/2016	11:45PM	NOISE COMPLAINT	10/16/2016	11:45PM	78 Amory St	CLOSED	Description181
10/8/2016	8:21AM	THEFT	10/8/2016	8:21AM	288 Albany St	CLOSED	Description182
12/1/2016	2:49PM	NOISE COMPLAINT	12/1/2016	2:49PM	176 Brookline St	OPEN	Description183
12/10/2016	9:10PM	DISTRUBANCE	12/10/2016	9:10PM	32 Jefferson St	CLOSED	Description184
10/31/2016	7:44AM	UNWANTED GUEST	10/31/2016	7:44AM	16 Ellsworth Pk	CLOSED	Description185
12/20/2016	6:33AM	UNWANTED GUEST	12/20/2016	6:33AM	2218 Massachusetts Ave	CLOSED	Description186
9/10/2016	9:20PM	NOISE COMPLAINT	9/10/2016	9:20PM	117 Auburn St	CLOSED	Description187
9/22/2016	11:34AM	NOISE COMPLAINT	9/22/2016	11:34AM	67 Holworthy St	CLOSED	Description188
10/19/2016	10:05PM	THEFT	10/19/2016	10:05PM	14 Creighton St	CLOSED	Description189
11/31/2016	4:45PM	NOISE COMPLAINT	11/31/2016	4:45PM	203 Allston St	CLOSED	Description190
12/12/2016	8:53AM	TREPASS WARNING	12/12/2016	8:53AM	20 Crescent St	CLOSED	Description191
10/20/2016	6:48PM	THEFT	10/20/2016	6:48PM	216 Banks St	CLOSED	Description192
12/23/2016	5:52AM	THEFT	12/23/2016	5:52AM	118 Antrim St	CLOSED	Description193
10/13/2016	9:23AM	TREPASS WARNING	10/13/2016	9:23AM	14 Creighton St	CLOSED	Description194
10/20/2016	5:08PM	NOISE COMPLAINT	10/20/2016	5:08PM	15 St Sauveur Ct	CLOSED	Description195
12/28/2016	5:23PM	UNWANTED GUEST	12/28/2016	5:23PM	80 River St	CLOSED	Description196
11/20/2016	11:24PM	UNWANTED GUEST	11/20/2016	11:24PM	70 Hampshire St	CLOSED	Description197
10/9/2016	11:02AM	NOISE COMPLAINT	10/9/2016	11:02AM	321 Mt Auburn St	CLOSED	Description198
12/22/2016	11:11PM	NOISE COMPLAINT	12/22/2016	11:11PM	71 Vassal Ln	OPEN	Description199
9/25/2016	1:19AM	NOISE COMPLAINT	9/25/2016	1:19AM	39 Meadow Way	CLOSED	Description200
10/23/2016	11:34AM	NOISE COMPLAINT	10/23/2016	11:34AM	212 Norfolk St	CLOSED	Description201
11/29/2016	6:42PM	DEMONSTRATION	11/29/2016	6:42PM	188 Vassal Ln	OPEN	Description202
12/2/2016	3:33AM	UNWANTED GUEST	12/2/2016	3:33AM	30 Eustis St	OPEN	Description203
10/20/2016	9:49AM	THEFT	10/20/2016	9:49AM	9 Acacia St	CLOSED	Description204
9/18/2016	5:34AM	THEFT	9/18/2016	5:34AM	131 Tremont St	CLOSED	Description205
9/29/2016	4:52PM	THEFT	9/29/2016	4:52PM	57 Maple Ave	CLOSED	Description206
11/11/2016	10:31AM	REMOVE GROUP	11/11/2016	10:31AM	47-A Larchwood Dr	CLOSED	Description207
11/28/2016	10:59AM	DEMONSTRATION	11/28/2016	10:59AM	217 Concord Ave	CLOSED	Description208
12/23/2016	3:49PM	THEFT	12/23/2016	3:49PM	38-1/2 Gore St	OPEN	Description209
10/22/2016	3:55PM	NOISE COMPLAINT	10/22/2016	3:55PM	9 Clary St	CLOSED	Description210
11/28/2016	2:40AM	ASSIST STATE POLICE	11/28/2016	2:40AM	5 St Paul St	OPEN	Description211
10/18/2016	7:39AM	THEFT	10/18/2016	7:39AM	15 Gerry St	OPEN	Description212
12/13/2016	12:18AM	TREPASS WARNING	12/13/2016	12:18AM	113 Cherry St	CLOSED	Description213
11/15/2016	2:02AM	THEFT	11/15/2016	2:02AM	36 Dover St	CLOSED	Description214
10/23/2016	8:45PM	TREPASS WARNING	10/23/2016	8:45PM	36 Oxford St	CLOSED	Description215
10/31/2016	10:35PM	NOISE COMPLAINT	10/31/2016	10:35PM	58 JFK St	CLOSED	Description216
10/6/2016	6:24PM	ASSIST STATE POLICE	10/6/2016	6:24PM	17 Florence St	CLOSED	Description217
11/22/2016	12:58PM	THEFT	11/22/2016	12:58PM	156-2 Prospect St	OPEN	Description218
12/26/2016	10:09AM	ASSIST STATE POLICE	12/26/2016	10:09AM	22 Alewife Brook Pkwy	CLOSED	Description219
10/26/2016	2:28PM	DEMONSTRATION	10/26/2016	2:28PM	57 Cherry St	CLOSED	Description220
11/29/2016	2:04PM	DEMONSTRATION	11/29/2016	2:04PM	39 Holyoke St	OPEN	Description221
12/11/2016	8:29AM	THEFT	12/11/2016	8:29AM	9 West St	CLOSED	Description222
10/27/2016	1:37PM	REMOVE GROUP	10/27/2016	1:37PM	55-A Upland Rd	CLOSED	Description223
10/4/2016	2:07PM	THEFT	10/4/2016	2:07PM	2 Olive Pl	OPEN	Description224
11/6/2016	10:21AM	THEFT	11/6/2016	10:21AM	421 Walden St	OPEN	Description225
11/12/2016	12:40PM	UNWANTED GUEST	11/12/2016	12:40PM	18-1 Traill St	CLOSED	Description226
10/7/2016	7:34PM	TREPASS WARNING	10/7/2016	7:34PM	39 Foster St	CLOSED	Description227
11/20/2016	10:49PM	THEFT	11/20/2016	10:49PM	15 Channing St	CLOSED	Description228
10/22/2016	5:57AM	DISTRUBANCE	10/22/2016	5:57AM	43 Fresh Pond Pl	CLOSED	Description229
9/4/2016	6:21AM	NOISE COMPLAINT	9/4/2016	6:21AM	4 Avon St	CLOSED	Description230
9/10/2016	2:51PM	DISTRUBANCE	9/10/2016	2:51PM	100 Magazine St	CLOSED	Description231
10/11/2016	8:54PM	THEFT	10/11/2016	8:54PM	1 Cutler Ave	CLOSED	Description232
10/13/2016	7:30AM	THEFT	10/13/2016	7:30AM	73 Highland Ave	CLOSED	Description233
11/9/2016	1:49AM	THEFT	11/9/2016	1:49AM	312 Prospect St	CLOSED	Description234
10/15/2016	7:40AM	DISTRUBANCE	10/15/2016	7:40AM	379 Walden St	CLOSED	Description235
9/11/2016	11:25PM	REMOVE GROUP	9/11/2016	11:25PM	452 Huron Ave	CLOSED	Description236
11/22/2016	4:33PM	NOISE COMPLAINT	11/22/2016	4:33PM	24 Magoun St	OPEN	Description237
11/11/2016	8:40PM	DISTRUBANCE	11/11/2016	8:40PM	123 Harvey St	CLOSED	Description238
12/14/2016	12:44AM	ASSIST STATE POLICE	12/14/2016	12:44AM	131 Trowbridge St	CLOSED	Description239
11/3/2016	5:38AM	TREPASS WARNING	11/3/2016	5:38AM	181 Windsor St	OPEN	Description240
10/11/2016	10:03AM	DEMONSTRATION	10/11/2016	10:03AM	853 Main St	OPEN	Description241
12/15/2016	7:44AM	REMOVE GROUP	12/15/2016	7:44AM	266 Windsor St	CLOSED	Description242
12/25/2016	11:58PM	NOISE COMPLAINT	12/25/2016	11:58PM	966 Cambridge St	CLOSED	Description243
9/23/2016	4:23PM	REMOVE GROUP	9/23/2016	4:23PM	8 Seven Pines Ave	CLOSED	Description244
9/5/2016	2:55PM	DISTRUBANCE	9/5/2016	2:55PM	87 Sherman St	CLOSED	Description245
11/5/2016	4:23PM	NOISE COMPLAINT	11/5/2016	4:23PM	29 Jackson Pl	OPEN	Description246
9/13/2016	10:38PM	TREPASS WARNING	9/13/2016	10:38PM	47 Garden St	CLOSED	Description247
11/17/2016	3:34AM	NOISE COMPLAINT	11/17/2016	3:34AM	39 Tremont St	CLOSED	Description248
12/11/2016	11:05AM	REMOVE GROUP	12/11/2016	11:05AM	107-C Amory St	CLOSED	Description249
10/10/2016	8:41AM	UNWANTED GUEST	10/10/2016	8:41AM	2521 Massachusetts Ave	CLOSED	Description250
9/24/2016	7:58AM	NOISE COMPLAINT	9/24/2016	7:58AM	36 Myrtle Ave	CLOSED	Description251
10/30/2016	8:26PM	TREPASS WARNING	10/30/2016	8:26PM	193 Sherman St	CLOSED	Description252
11/20/2016	6:00PM	REMOVE GROUP	11/20/2016	6:00PM	431 Putnam Ave	CLOSED	Description253
11/16/2016	9:59PM	THEFT	11/16/2016	9:59PM	5 Hunting St	CLOSED	Description254
11/15/2016	1:26PM	UNWANTED GUEST	11/15/2016	1:26PM	15 Rice St	CLOSED	Description255
10/13/2016	4:38PM	DISTRUBANCE	10/13/2016	4:38PM	18 Edmunds St	CLOSED	Description256
